stadium_name,stadium_location,team_name,team_name_short,team_id,team_id_pfr,team_conference,team_division,team_conference_pre2002,team_division_pre2002
State Farm Stadium,"Glendale, AZ",Arizona Cardinals,Cardinals,ARI,CRD,NFC,NFC West,NFC,NFC West
Mercedes-Benz Stadium,"Atlanta, GA",Atlanta Falcons,Falcons,ATL,ATL,NFC,NFC South,NFC,NFC West
Memorial Stadium (Baltimore),"Baltimore, MD",Baltimore Colts,Colts,IND,CLT,AFC,,AFC,AFC East
M&T Bank Stadium,"Baltimore, MD",Baltimore Ravens,Ravens,BAL,RAV,AFC,AFC North,AFC,AFC Central
Gillette Stadium,"Foxborough, MA",Boston Patriots,Patriots,NE,NWE,AFC,,AFC,
Highmark Stadium,"Orchard Park, NY",Buffalo Bills,Bills,BUF,BUF,AFC,AFC East,AFC,AFC East
Bank of America Stadium,"Charlotte, NC",Carolina Panthers,Panthers,CAR,CAR,NFC,NFC South,NFC,NFC West
Soldier Field,"Chicago, IL",Chicago Bears,Bears,CHI,CHI,NFC,NFC North,NFC,NFC Central
Paul Brown Stadium,"Cincinnati, OH",Cincinnati Bengals,Bengals,CIN,CIN,AFC,AFC North,AFC,AFC Central
FirstEnergy Stadium,"Cleveland, OH",Cleveland Browns,Browns,CLE,CLE,AFC,AFC North,AFC,AFC Central
AT&T Stadium,"Arlington, TX",Dallas Cowboys,Cowboys,DAL,DAL,NFC,NFC East,NFC,NFC East
Empower Field at Mile High,"Denver, CO",Denver Broncos,Broncos,DEN,DEN,AFC,AFC West,AFC,AFC West
Ford Field,"Detroit, MI",Detroit Lions,Lions,DET,DET,NFC,NFC North,NFC,NFC Central
Lambeau Field,"Green Bay, WI",Green Bay Packers,Packers,GB,GNB,NFC,NFC North,NFC,NFC Central
Houston Astrodome,"Houston, TX",Houston Oilers,Oilers,TEN,OTI,AFC,,AFC,AFC Central
NRG Stadium,"Houston, TX",Houston Texans,Texans,HOU,HTX,AFC,AFC South,AFC,
Lucas Oil Stadium,"Indianapolis, IN",Indianapolis Colts,Colts,IND,CLT,AFC,AFC South,AFC,AFC East
TIAA Bank Field,"Jacksonville, FL",Jacksonville Jaguars,Jaguars,JAX,JAX,AFC,AFC South,AFC,AFC Central
GEHA Field at Arrowhead Stadium,"Kansas City, MO",Kansas City Chiefs,Chiefs,KC,KAN,AFC,AFC West,AFC,AFC West
Allegiant Stadium,"Paradise, NV",Las Vegas Raiders,Raiders,LVR,RAI,AFC,,AFC,AFC West
SoFi Stadium,"Inglewood, CA",Los Angeles Chargers,Chargers,LAC,SDG,AFC,AFC West,AFC,AFC West
Los Angeles Memorial Coliseum,"Los Angeles, CA",Los Angeles Raiders,Raiders,LVR,RAI,AFC,,AFC,AFC West
SoFi Stadium,"Inglewood, CA",Los Angeles Rams,Rams,LAR,RAM,NFC,NFC West,NFC,NFC West
Hard Rock Stadium,"Miami Gardens, FL",Miami Dolphins,Dolphins,MIA,MIA,AFC,AFC East,AFC,AFC East
U.S. Bank Stadium,"Minneapolis, MN",Minnesota Vikings,Vikings,MIN,MIN,NFC,NFC North,NFC,NFC Central
Gillette Stadium,"Foxborough, MA",New England Patriots,Patriots,NE,NWE,AFC,AFC East,AFC,AFC East
Caesars Superdome,"New Orleans, LA",New Orleans Saints,Saints,NO,NOR,NFC,NFC South,NFC,NFC West
MetLife Stadium,"East Rutherford, NJ",New York Giants,Giants,NYG,NYG,NFC,NFC East,NFC,NFC East
MetLife Stadium,"East Rutherford, NJ",New York Jets,Jets,NYJ,NYJ,NFC,AFC East,NFC,AFC East
Kezar Stadium,"San Francisco, CA",Oakland Raiders,Raiders,LVR,RAI,AFC,AFC West,AFC,AFC West
Lincoln Financial Field,"Philadelphia, PA",Philadelphia Eagles,Eagles,PHI,PHI,NFC,NFC East,NFC,NFC East
State Farm Stadium,"Glendale, AZ",Phoenix Cardinals,Cardinals,ARI,CRD,NFC,,NFC,NFC East
Acrisure Stadium,"Pittsburgh, PA",Pittsburgh Steelers,Steelers,PIT,PIT,AFC,AFC North,AFC,AFC Central
Qualcomm Stadium,"San Diego, CA",San Diego Chargers,Chargers,LAC,SDG,AFC,AFC West,AFC,AFC West
Levi's Stadium,"Santa Clara, CA",San Francisco 49ers,49ers,SF,SFO,NFC,NFC West,NFC,NFC West
Lumen Field,"Seattle, WA",Seattle Seahawks,Seahawks,SEA,SEA,NFC,NFC West,AFC,AFC West
Busch Memorial Stadium,"St. Louis, MO",St. Louis Cardinals,Cardinals,ARI,ARI,NFC,,NFC,NFC East
Edward Jones Dome,"St. Louis, MO",St. Louis Rams,Rams,LAR,RAM,NFC,,NFC,NFC West
Raymond James Stadium,"Tampa, FL",Tampa Bay Buccaneers,Buccaneers,TB,TAM,NFC,NFC South,NFC,NFC Central
Liberty Bowl Memorial Stadium,"Memphis, TN",Tennessee Oilers,Oilers,TEN,OTI,AFC,,AFC,AFC Central
Nissan Stadium,"Nashville, TN",Tennessee Titans,Titans,TEN,OTI,AFC,AFC South,AFC,AFC Central
FedEx Field,"Landover, MD",Washington Commanders,Washington,WAS,WAS,NFC,NFC East,NFC,NFC East
FedEx Field,"Landover, MD",Washington Football Team,Washington,WAS,WAS,NFC,NFC East,NFC,NFC East
FedEx Field,"Landover, MD",Washington Redskins,Washington,WAS,WAS,NFC,NFC East,NFC,NFC East
