Index,Team Name,Team ID,Conference (post 2002),Division (post 2002)
0,Pittsburgh Steelers,PIT,AFC,AFC North
1,,,,
2,Las Vegas Raiders,LVR,AFC,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,Dallas Cowboys,DAL,NFC,NFC East
9,,,,
10,,,,
11,Carolina Panthers,CAR,NFC,NFC South
12,,,,
13,St. Louis Cardinals,ARI,NFC,
14,New Orleans Saints,NO,NFC,NFC South
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,St. Louis Rams,LAR,NFC,
24,Denver Broncos,DEN,AFC,AFC West
25,,,,
26,,,,
27,Washington Commanders,WAS,NFC,NFC East
30,,,,
31,Cleveland Browns,CLE,AFC,AFC North
32,Detroit Lions,DET,NFC,NFC North
33,,,,
34,,,,
35,,,,
36,Kansas City Chiefs,KC,AFC,AFC West
37,,,,
38,,,,
39,Boston Patriots,NE,AFC,
41,Miami Dolphins,MIA,AFC,AFC East
42,,,,
43,,,,
44,Buffalo Bills,BUF,AFC,AFC East
45,,,,
46,Houston Oilers,TEN,AFC,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,Oakland Raiders,LVR,AFC,AFC West
53,Green Bay Packers,GB,NFC,NFC North
54,,,,
55,San Francisco 49ers,SF,NFC,NFC West
56,Tennessee Oilers,TEN,AFC,
57,Philadelphia Eagles,PHI,NFC,NFC East
58,Los Angeles Raiders,LVR,AFC,
59,,,,
60,,,,
61,Indianapolis Colts,IND,AFC,AFC South
62,Seattle Seahawks,SEA,NFC,NFC West
63,Baltimore Ravens,BAL,AFC,AFC North
64,,,,
65,Baltimore Colts,IND,AFC,
66,,,,
67,,,,
68,Atlanta Falcons,ATL,NFC,NFC South
69,,,,
70,New York Giants,NYG,NFC,NFC East
72,,,,
73,,,,
74,,,,
75,,,,
76,Tennessee Titans,TEN,AFC,AFC South
77,Houston Texans,HOU,AFC,AFC South
78,,,,
79,,,,
80,Cincinnati Bengals,CIN,AFC,AFC North
81,,,,
82,,,,
83,,,,
84,,,,
85,San Diego Chargers,LAC,AFC,AFC West
86,,,,
87,Tampa Bay Buccaneers,TB,NFC,NFC South
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,Los Angeles Chargers,LAC,AFC,AFC West
98,Chicago Bears,CHI,NFC,NFC North
99,,,,
100,,,,
101,Arizona Cardinals,ARI,NFC,NFC West
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,Jacksonville Jaguars,JAX,AFC,AFC South
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,Minnesota Vikings,MIN,NFC,NFC North
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
